original_image,counterfactual_image,p_original,p_translated,delta,flip
img_000000_original.png,img_000000_counterfactual.png,0.6202520728111267,0.6402586698532104,0.02000659704208374,0
img_000001_original.png,img_000001_counterfactual.png,0.6890913248062134,0.6675295233726501,-0.021561801433563232,0
img_000002_original.png,img_000002_counterfactual.png,0.39595162868499756,0.3676263391971588,-0.028325289487838745,0
img_000003_original.png,img_000003_counterfactual.png,0.8049798607826233,0.7145553231239319,-0.0904245376586914,0
img_000004_original.png,img_000004_counterfactual.png,0.48881620168685913,0.5232436656951904,0.0344274640083313,0
img_000005_original.png,img_000005_counterfactual.png,0.3612249493598938,0.31341665983200073,-0.047808289527893066,1
img_000006_original.png,img_000006_counterfactual.png,0.07215859740972519,0.09549656510353088,0.023337967693805695,0
img_000007_original.png,img_000007_counterfactual.png,0.7247248888015747,0.7388759851455688,0.01415109634399414,0
img_000008_original.png,img_000008_counterfactual.png,0.45834648609161377,0.4864698350429535,0.02812334895133972,0
img_000009_original.png,img_000009_counterfactual.png,0.34324735403060913,0.4086802303791046,0.06543287634849548,0
img_000010_original.png,img_000010_counterfactual.png,0.498838871717453,0.4873955547809601,-0.01144331693649292,0
img_000011_original.png,img_000011_counterfactual.png,0.45101362466812134,0.4068007171154022,-0.044212907552719116,0
img_000012_original.png,img_000012_counterfactual.png,0.7199215888977051,0.7359722256660461,0.016050636768341064,0
img_000013_original.png,img_000013_counterfactual.png,0.12646570801734924,0.12476049363613129,-0.0017052143812179565,0
img_000014_original.png,img_000014_counterfactual.png,0.841927170753479,0.8455913662910461,0.0036641955375671387,0
img_000015_original.png,img_000015_counterfactual.png,0.15364250540733337,0.15225709974765778,-0.0013854056596755981,0
img_000016_original.png,img_000016_counterfactual.png,0.3434739112854004,0.34296971559524536,-0.0005041956901550293,0
img_000017_original.png,img_000017_counterfactual.png,0.6334190368652344,0.6108330488204956,-0.02258598804473877,0
img_000018_original.png,img_000018_counterfactual.png,0.7306114435195923,0.6890848875045776,-0.04152655601501465,0
img_000019_original.png,img_000019_counterfactual.png,0.5221245288848877,0.5298367142677307,0.007712185382843018,0
img_000020_original.png,img_000020_counterfactual.png,0.3820989727973938,0.4334033727645874,0.051304399967193604,0
img_000021_original.png,img_000021_counterfactual.png,0.273700088262558,0.23055662214756012,-0.043143466114997864,0
img_000022_original.png,img_000022_counterfactual.png,0.32257282733917236,0.35281863808631897,0.030245810747146606,0
img_000023_original.png,img_000023_counterfactual.png,0.693094789981842,0.7079159021377563,0.014821112155914307,0
img_000024_original.png,img_000024_counterfactual.png,0.7112137675285339,0.6779937744140625,-0.033219993114471436,0
img_000025_original.png,img_000025_counterfactual.png,0.04977039992809296,0.055391233414411545,0.005620833486318588,0
img_000026_original.png,img_000026_counterfactual.png,0.6758182644844055,0.5797868371009827,-0.09603142738342285,0
img_000027_original.png,img_000027_counterfactual.png,0.0713484138250351,0.10263438522815704,0.03128597140312195,0
img_000028_original.png,img_000028_counterfactual.png,0.5185986757278442,0.5000300407409668,-0.01856863498687744,0
img_000029_original.png,img_000029_counterfactual.png,0.66365647315979,0.6760262250900269,0.012369751930236816,0
img_000030_original.png,img_000030_counterfactual.png,0.5094662308692932,0.4703309237957001,-0.03913530707359314,0
img_000031_original.png,img_000031_counterfactual.png,0.5262454748153687,0.4300493597984314,-0.09619611501693726,0
img_000032_original.png,img_000032_counterfactual.png,0.8166897892951965,0.7467238306999207,-0.06996595859527588,0
img_000033_original.png,img_000033_counterfactual.png,0.2799336314201355,0.289091020822525,0.009157389402389526,0
img_000034_original.png,img_000034_counterfactual.png,0.35658782720565796,0.28235217928886414,-0.07423564791679382,1
img_000035_original.png,img_000035_counterfactual.png,0.22830535471439362,0.2258206605911255,-0.0024846941232681274,0
img_000036_original.png,img_000036_counterfactual.png,0.7288666367530823,0.6323783993721008,-0.09648823738098145,0
img_000037_original.png,img_000037_counterfactual.png,0.5641648769378662,0.5682986974716187,0.004133820533752441,0
img_000038_original.png,img_000038_counterfactual.png,0.6175901293754578,0.6214401721954346,0.0038500428199768066,0
img_000039_original.png,img_000039_counterfactual.png,0.5722871422767639,0.6329821944236755,0.06069505214691162,0
img_000040_original.png,img_000040_counterfactual.png,0.6139507293701172,0.6094729900360107,-0.004477739334106445,0
img_000041_original.png,img_000041_counterfactual.png,0.8503085970878601,0.8298543691635132,-0.020454227924346924,0
img_000042_original.png,img_000042_counterfactual.png,0.45993438363075256,0.43604737520217896,-0.02388700842857361,0
