image,p_original,p_translated,delta,flip
00000218_001.png,0.6834595203399658,0.5177098512649536,-0.1657496690750122,0
00004344_002.png,0.76236492395401,0.6162692904472351,-0.1460956335067749,0
00008362_013.png,0.8479529023170471,0.8872653841972351,0.03931248188018799,0
00026179_003.png,0.4559512734413147,0.5312367677688599,0.07528549432754517,0
00026580_000.png,0.27619221806526184,0.6889868378639221,0.4127946197986603,0
00013070_000.png,0.14491777122020721,0.35793378949165344,0.21301601827144623,0
00000310_001.png,0.6158949732780457,0.4551018178462982,-0.16079315543174744,0
00008727_009.png,0.16032034158706665,0.3624054789543152,0.20208513736724854,0
00009798_016.png,0.7638119459152222,0.6548587083816528,-0.10895323753356934,0
00025075_006.png,0.7130703330039978,0.6271612644195557,-0.08590906858444214,0
00028924_005.png,0.3902124762535095,0.460564523935318,0.07035204768180847,0
00022201_000.png,0.3835146129131317,0.3087823987007141,-0.0747322142124176,1
00001582_021.png,0.34234553575515747,0.32818928360939026,-0.014156252145767212,1
00015826_036.png,0.724195659160614,0.4946495294570923,-0.22954612970352173,0
00004893_070.png,0.24599313735961914,0.39976614713668823,0.1537730097770691,0
00006296_032.png,0.6935300827026367,0.6259943246841431,-0.06753575801849365,0
00010509_003.png,0.39990514516830444,0.6101396083831787,0.21023446321487427,0
00003535_025.png,0.0355769507586956,0.12746115028858185,0.09188419952988625,0
00021571_000.png,0.7196962237358093,0.7402356266975403,0.020539402961730957,0
00027320_010.png,0.7368054389953613,0.5443804860115051,-0.1924249529838562,0
00004893_027.png,0.30133482813835144,0.6066092252731323,0.3052743971347809,0
00028457_010.png,0.8894479870796204,0.8170302510261536,-0.0724177360534668,0
00022877_014.png,0.403038889169693,0.1769852638244629,-0.2260536253452301,1
00005892_001.png,0.525839626789093,0.4172816872596741,-0.10855793952941895,0
00026389_002.png,0.7557867169380188,0.6085668802261353,-0.14721983671188354,0
00014414_007.png,0.8619461059570312,0.7673659324645996,-0.09458017349243164,0
00008470_008.png,0.07123108208179474,0.4145522713661194,0.34332118928432465,0
00018191_003.png,0.49583184719085693,0.5769256949424744,0.08109384775161743,0
00013641_048.png,0.18806511163711548,0.6668574810028076,0.47879236936569214,0
00013272_005.png,0.30903688073158264,0.20478953421115875,-0.10424734652042389,0
00008745_034.png,0.6645697951316833,0.6498865485191345,-0.014683246612548828,0
00005778_001.png,0.31784766912460327,0.3008102476596832,-0.017037421464920044,0
00013992_005.png,0.7492920756340027,0.6152144074440002,-0.13407766819000244,0
00014958_001.png,0.6954494118690491,0.6062822937965393,-0.08916711807250977,0
00001582_019.png,0.8011013865470886,0.6156148910522461,-0.18548649549484253,0
00000499_008.png,0.41603216528892517,0.4066563546657562,-0.009375810623168945,0
00019895_002.png,0.28916099667549133,0.5317966938018799,0.24263569712638855,0
00014436_008.png,0.01096368208527565,0.11478190869092941,0.10381822660565376,0
00002052_002.png,0.47132599353790283,0.3449261784553528,-0.12639981508255005,0
00015018_003.png,0.055667851120233536,0.137168750166893,0.08150089904665947,0
00021627_007.png,0.20837610960006714,0.3365841805934906,0.12820807099342346,0
00021243_001.png,0.4517047107219696,0.38393786549568176,-0.06776684522628784,0
00006985_002.png,0.1330007165670395,0.0933111235499382,-0.03968959301710129,0
